IDLink,SentimentTitle,SentimentHeadline
BJ8bLZcYcm,0.016179902417535048,-0.11872802408502608
ph8TGKbvNp,0.019395457434973607,0.09686329131040385
qJDgUHX7Ay,-0.039858271919151034,-0.16735258926720076
2MVdzsl9s1,-0.11402931056243563,-0.2724892798603059
6QFCqKq50Q,-0.07796272300526917,-0.03959077971934858
50Gqd3bxAP,0.07714551803491349,0.050068539167230044
4XFbet5nuU,0.14674546525199247,0.14619461950112933
EHxfGLWj4D,-0.08707385007432009,-0.0015466528372651278
GIgCdpoXQg,0.5108263940367767,0.0738696171810197
FsU13jkSUN,0.04981933252872303,-0.09684321876577168
cH6jw5NJZG,0.24357942591102297,-0.04288362403425089
1ZGtTCOMob,-0.013496094151391228,-0.18097239583880553
tLEIzoyy1U,-0.03929640219264301,-0.15570663635707171
LT0vJ9e8RL,-0.04776211003580379,-0.11702488385908184
fLhSewI7hl,-0.1042587334136626,-0.19474803318712114
BKmMCCyI24,0.11169394577053787,0.10981903828810481
zLfTXlitf4,0.05690110250117218,-0.049937478701529536
D1UGJpSrZZ,0.07397633405591787,-0.12219841806813718
N1XTITfsp6,0.029257443056986954,0.0019979462884074095
0V9oxMjhMt,-0.07639273103832954,0.09084522562710053
QxelQ72MHw,-0.09619508225127794,-0.12084660146008508
QFFMn7zny3,-0.10207756532661069,-0.08935712763175244
vdaz9Fh4fW,-0.05596184536212222,0.17010697768473865
0bjK2pD5rA,-0.11515251083988,0.13668034323061423
8Jxwu73QQv,-0.1253218382254113,-0.03818468383766143
eGtKac5AXJ,0.26434447635957387,0.14054614302914226
AGtThiCr7x,-0.053123768023048884,-0.04533864549501253
0Hfy3CCYJa,-0.15301816479422692,0.2098748908153532
g27NPRephl,-0.018429034569313014,-0.13149939670176727
0Wehiw0tBL,0.01846010311515597,-0.18113493429894878
VRxipL5riY,0.12342213859592746,-0.026527152674785847
3K4eXrUlyP,0.1156785569254695,-0.11650347180639849
pa7mr0QqnS,0.08894367680149189,-0.059258616124370805
5HThJgCXIX,-0.0847868059312681,0.058377324985685985
0cUq3TlR5f,0.10605379883641022,-0.06491676709168567
fogM0b67t5,0.021173217149629064,0.04181439942280203
YzSvy02P3B,0.01994218608213232,0.09885116307004939
OG1zBKlj3N,-0.05394906577789407,0.09101061885898172
FnJcunPbOF,-0.18443076743800998,-0.13724089365260594
NVJGg81Mms,-0.027061220852778654,0.0006429284711306008
VGZZ7H3YKb,0.3441749705748908,-0.21289445162297288
B46EUYuctp,0.026214554483703145,-0.07730846559370141
3bd3U3lrhW,-0.17267374099428043,0.045562518151216536
84f57mx4gn,0.014510687382861268,-0.1673205338715858
BimmNqfZRd,-0.14247341573108455,0.061217964771040995
k63gxoTZi5,0.08341349945715743,-0.1581299314862299
uH0jqRu7sR,-0.003984244641998518,-0.14834002885481898
cDwFSjq1JG,-0.13822413182076124,0.023353799678043345
jf4umpDSfA,-0.05370060363447737,0.17267376380992816
tFAfztcQuK,0.05712872631404367,0.1178422901859283
tBQiMTHGSD,-0.004115071154999298,-0.008840500669381336
YC0n5DXjfM,0.07239597458950418,0.058502879291041573
Yrf1I3S2Dr,0.1503123002408668,-0.010938563212469079
YwivvYk2Lu,-0.15449830378366475,-0.2402173658840242
blmJgHfQww,0.019704966463401048,-0.004587621419422261
egWxYuHaa6,0.03678303301237053,-0.04429514430563014
wzChuwPQWY,0.03557889316760114,-0.02879381752834869
7fbtuO6l6X,-0.2334460836108802,-0.2852735885173901
HJUwYCANy9,0.006631123232206007,-0.15448880989303904
Z0n3E3SCOG,-0.049229430559233,0.17242555175923913
pzyoJMc1bx,-0.053949310934197886,0.17216996356079278
ZdlhOxH0bW,-0.0845334312256654,-0.06651441350975286
3SmervDVgI,-0.10180107586722531,0.014167492492890704
RWMyLB189T,-0.1450723966694841,-0.1875049570105145
W0pv3cFLri,-0.04009457941816466,-0.041855079805986836
sP7CUKKcQ8,-0.09298604800307923,0.1431272723124496
0zcT6xpqtC,0.054461937524581866,-0.04895213481162837
t9LCLjmDvm,0.012347590914578845,-0.011954024304357543
f8LQVyQxAW,0.0725916756543967,0.006500206608727507
WbpOGyB3D9,-0.049058176868638045,-0.1168448457212965
ijK4yvk480,-0.01544790500702889,-0.16085495273403005
06I3Fqhaop,0.04327366586549139,0.05784442556531727
xLlfOaTExA,0.0023992109373093505,0.05743317491936231
7IKs3t0uh0,0.009719848738582594,-0.07926064143359579
VrIrp6m7yv,0.03925349240262958,-0.20035872977241753
dRRTayZ6bi,0.06121110694621004,0.00010660298642981708
AKLNlkERTq,0.012237198109756577,0.036522152819519454
zSR3rLtcxi,0.029325236039592997,0.14804726131839907
